ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-05-01,15.651431553774929,13.198133316625041,18.086027608394325,15.651431553774929,15.651431553774929,-0.07158532890576566,-0.07158532890576566,-0.07158532890576566,-0.07158532890576566,-0.07158532890576566,-0.07158532890576566,0.0,0.0,0.0,15.579846224869163
2008-06-01,15.641985930931288,13.150945915937639,17.95377260294431,15.641985930931288,15.641985930931288,-0.22250630526285445,-0.22250630526285445,-0.22250630526285445,-0.22250630526285445,-0.22250630526285445,-0.22250630526285445,0.0,0.0,0.0,15.419479625668433
2008-07-01,15.632845005598732,13.215966060923439,18.050961134524737,15.632845005598732,15.632845005598732,0.008367696465387271,0.008367696465387271,0.008367696465387271,0.008367696465387271,0.008367696465387271,0.008367696465387271,0.0,0.0,0.0,15.641212702064118
2008-08-01,15.62339938275509,13.448117210297779,18.29129280772898,15.62339938275509,15.62339938275509,0.0936915326671352,0.0936915326671352,0.0936915326671352,0.0936915326671352,0.0936915326671352,0.0936915326671352,0.0,0.0,0.0,15.717090915422226
2008-09-01,15.61395375991145,13.311468331133932,18.03116088046018,15.61395375991145,15.61395375991145,0.09208379708468235,0.09208379708468235,0.09208379708468235,0.09208379708468235,0.09208379708468235,0.09208379708468235,0.0,0.0,0.0,15.706037556996131
2008-10-01,15.604812834578894,13.226928136610434,17.726569719109452,15.604812834578894,15.604812834578894,-0.10952881275931986,-0.10952881275931986,-0.10952881275931986,-0.10952881275931986,-0.10952881275931986,-0.10952881275931986,0.0,0.0,0.0,15.495284021819574
2008-11-01,15.595367211735255,13.083491608498951,17.923554299300918,15.595367211735255,15.595367211735255,-0.19530294088997993,-0.19530294088997993,-0.19530294088997993,-0.19530294088997993,-0.19530294088997993,-0.19530294088997993,0.0,0.0,0.0,15.400064270845276
2008-12-01,15.586226286402697,13.082671461302501,18.185803200280553,15.586226286402697,15.586226286402697,-0.006526195435069188,-0.006526195435069188,-0.006526195435069188,-0.006526195435069188,-0.006526195435069188,-0.006526195435069188,0.0,0.0,0.0,15.579700090967627
2009-01-01,15.576780663559058,13.0015798688738,17.874943970156835,15.576780663559058,15.576780663559058,-0.1434877618119502,-0.1434877618119502,-0.1434877618119502,-0.1434877618119502,-0.1434877618119502,-0.1434877618119502,0.0,0.0,0.0,15.433292901747107
2009-02-01,15.567335040715417,12.988611252627084,17.84340676994764,15.567335040715417,15.567335040715417,-0.18774926740946865,-0.18774926740946865,-0.18774926740946865,-0.18774926740946865,-0.18774926740946865,-0.18774926740946865,0.0,0.0,0.0,15.379585773305948
2009-03-01,15.558803510405031,13.188824480783005,17.918451507481528,15.558803510405031,15.558803510405031,0.007985404211589216,0.007985404211589216,0.007985404211589216,0.007985404211589216,0.007985404211589216,0.007985404211589216,0.0,0.0,0.0,15.56678891461662
2009-04-01,15.54935788756139,12.996547981541292,17.873153273788947,15.54935788756139,15.54935788756139,-0.18167175170603192,-0.18167175170603192,-0.18167175170603192,-0.18167175170603192,-0.18167175170603192,-0.18167175170603192,0.0,0.0,0.0,15.367686135855358
2009-05-01,15.540216962228834,12.974210637138341,17.798785459557184,15.540216962228834,15.540216962228834,-0.10597563071574598,-0.10597563071574598,-0.10597563071574598,-0.10597563071574598,-0.10597563071574598,-0.10597563071574598,0.0,0.0,0.0,15.434241331513089
2009-06-01,15.530771339385193,13.102791158814327,17.92960906267899,15.530771339385193,15.530771339385193,-0.18205076567265988,-0.18205076567265988,-0.18205076567265988,-0.18205076567265988,-0.18205076567265988,-0.18205076567265988,0.0,0.0,0.0,15.348720573712534
2009-07-01,15.521630414052638,13.165020897049494,18.09935073298491,15.521630414052638,15.521630414052638,-0.013860176181219045,-0.013860176181219045,-0.013860176181219045,-0.013860176181219045,-0.013860176181219045,-0.013860176181219045,0.0,0.0,0.0,15.50777023787142
2009-08-01,15.512184791208997,13.356703715457549,18.11569723489629,15.512184791208997,15.512184791208997,0.11790993027466522,0.11790993027466522,0.11790993027466522,0.11790993027466522,0.11790993027466522,0.11790993027466522,0.0,0.0,0.0,15.630094721483662
2009-09-01,15.502739168365357,13.137769515763177,17.9892406826283,15.502739168365357,15.502739168365357,0.11151629456799811,0.11151629456799811,0.11151629456799811,0.11151629456799811,0.11151629456799811,0.11151629456799811,0.0,0.0,0.0,15.614255462933356
